"","price","unit_size","land_size","age","todt","sales_year"
"248",350000,170.755706787109,267.932250976562,27,0,2012
"249",410000,148.644805908203,225.103973388672,24,0,2006
"250",445000,199.184036254883,220.830429077148,4,0,2004
"251",5e+05,127.091300964355,384.618408203125,76,0,2006
"252",499550,186.827926635742,222.967193603516,21,0,2006
"253",80000,134.709350585938,110.368766784668,15,0,2004
"254",270000,167.225402832031,207.452392578125,14,0,2003
"255",380000,217.207214355469,334.450805664062,0,0,2006
"256",610000,285.212219238281,580.643737792969,3,0,2003
"257",220000,79.1533584594727,380.902313232422,76,0,2006
"258",370110,153.289947509766,130.993225097656,3,0,2005
"259",470000,89.186882019043,464.515014648438,51,0,2006
"260",70000,202.900146484375,420.293182373047,64,0,2004
"261",234234,148.644805908203,107.024253845215,12,0,2003
"262",453150,96.6191177368164,408.773193359375,51,0,2006
"263",490730,207.452392578125,232.257507324219,7,0,2007
"264",421780,96.9907302856445,220.644622802734,79,0,2009
"265",273333,130.064193725586,230.399444580078,87,0,2007
"266",360000,159.793167114258,163.044769287109,15,0,2008
"267",260000,106.281028747559,120.773902893066,24,0,2011
"268",239450,128.577758789062,457.082763671875,87,0,2007
"269",360000,53.1405143737793,371.611999511719,51,0,2006
"270",446160,173.171188354492,294.688323974609,1,0,2004
"271",5e+05,247.865203857422,502.233612060547,41,0,2011
"272",245000,116.686164855957,220.644622802734,84,0,2004
"273",385000,111.11198425293,591.792114257812,48,0,2003
"274",299028,168.154434204102,251.209716796875,1,0,2004
"275",450000,187.292449951172,525.645202636719,8,0,2005
"276",593500,195.746627807617,708.385375976562,46,0,2006
"277",225014,153.289947509766,163.50927734375,0,0,2004
"278",440000,170.38410949707,263.658721923828,12,0,2008
"279",4e+05,343.555297851562,507.993591308594,105,0,2006
"280",431500,96.6191177368164,220.644622802734,86,0,2006
"281",405499,192.123397827148,232.257507324219,0,0,2004
"282",82000,90.3017196655273,287.070281982422,108,0,2009
"283",240000,83.6127014160156,100.428146362305,16,0,2003
"284",382000,182.833099365234,198.998229980469,31,0,2006
"285",320000,130.064193725586,117.708099365234,18,0,2005
"286",232000,120.773902893066,91.0449371337891,7,0,2003
"287",240000,78.9675521850586,144.928680419922,74,0,2004
"288",495000,111.11198425293,408.773193359375,52,0,2012
"289",751000,297.289611816406,353.031402587891,4,0,2005
"290",314959,123.746795654297,188.59309387207,23,0,2009
"291",521000,208.102722167969,431.998962402344,23,0,2003
"292",445900,95.6900863647461,594.579223632812,48,0,2003
"293",2800000,63.5456504821777,167.225402832031,82,0,2012
"294",410000,304.628936767578,505.299407958984,94,0,2004
"295",280000,111.483596801758,580.643737792969,94,0,2004
"296",283920,141.212554931641,118.915840148926,39,0,2009
"297",431000,112.97004699707,226.033004760742,46,0,2006
"298",332600,121.888732910156,222.967193603516,33,0,2003
"299",1e+05,125.233245849609,207.359497070312,14,0,2003
"300",1e+05,112.598434448242,252.696166992188,81,0,2006
"301",375000,148.644805908203,364.179748535156,41,0,2006
"302",97500,94.7610626220703,228.912994384766,94,0,2009
"303",435000,175.586669921875,225.382675170898,9,0,2011
"304",283000,188.035675048828,230.678146362305,25,0,2003
"305",512000,133.780319213867,343.741088867188,81,0,2011
"306",435000,101.821685791016,701.696350097656,61,0,2011
"307",249000,103.679748535156,74.1365966796875,12,0,2005
"308",259000,125.790664672852,46.4514999389648,8,0,2004
"309",3e+05,195.467910766602,371.611999511719,47,0,2012
"310",205000,130.435806274414,103.215232849121,11,0,2003
"311",455000,118.544227600098,232.257507324219,86,0,2006
"312",376000,125.604858398438,733.933715820312,103,0,2004
"313",330000,130.807418823242,121.888732910156,18,0,2005
"314",523380,162.58024597168,220.644622802734,2,0,2006
"315",4e+05,148.458999633789,371.611999511719,59,0,2004
"316",410000,222.967193603516,185.805999755859,12,0,2005
"317",580500,137.960952758789,557.418029785156,51,0,2006
